scene,model,tier,style_shift,action_follow,note
r01_BR,pca8,6.0,0,1,looks good but weird melting lines
r01_BR,pca4,4.5,0,1,stronger melt
r01_BR,pca2,3.5,0,1,"jumbled, shapes warped in little circles, no melt"
r01_BR,16node,8.0,0,1,good
r01_BR,4node,6.0,1,1,haze but not bad
r01_BR,noatok,4.0,1,1,"a lot more black, shapes correct, left a lot as black, uncanny"
r01_BR,noadaln,6.5,1,0,"some style shift, a bit worse, but no warp since it only moves forward"
r02_BR,pca8,7.5,0,1,"good, builds building, slightly blurry details"
r02_BR,pca4,6.0,0,1,building but more blurry
r02_BR,pca2,3.0,0,1,"buildings but mashier, mangled, melted"
r02_BR,16node,6.0,0,1,"hallucinates blue tarp, building strange/uncanny but good-ish"
r02_BR,4node,6.5,0,1,makes nothing; landscape looks good and low error
r02_BR,noatok,2.0,1,1,mangled black weird and wrong
r02_BR,noadaln,5.0,1,0,"moves forward, gets blurry and a bit hazy"
r04_BR,pca8,6.5,0,1,"ok, tree has curved space warping artefact"
r04_BR,pca4,7.0,0,1,"good, smaller tree, some curved warping, best here"
r04_BR,pca2,3.0,1,1,"hazy blurry mashy, visible artefacts"
r04_BR,16node,6.0,0,1,"weird wrong tree, otherwise good"
r04_BR,4node,4.0,1,1,hazy and missing large parts (tree trunks)
r04_BR,noatok,5.0,1,1,"black but style/warping fine; generated building strange, uncanny"
r04_BR,noadaln,7.0,0,0,looks good but does not follow the action
r05_BR,pca8,8.0,0,1,looks good
r05_BR,pca4,5.0,0,1,"bit blurry and hazy, scooter shapes warped"
r05_BR,pca2,8.0,0,1,good
r05_BR,16node,9.0,0,1,excellent
r05_BR,4node,5.0,0,1,warped (building right)
r05_BR,noatok,5.0,0,1,warped building with missing sides
r05_BR,noadaln,3.0,0,0,"does not follow directions, warping really bad"
r06_BR,pca8,8.0,0,1,good
r06_BR,pca4,4.0,0,1,significant temporal shimmer and blurring artefacts
r06_BR,pca2,4.0,0,1,significant temporal shimmer and blurring artefacts
r06_BR,16node,8.0,0,1,good
r06_BR,4node,7.5,0,1,good
r06_BR,noatok,7.5,0,1,good
r06_BR,noadaln,7.5,0,1,good
r10_BR,pca8,7.5,0,1,"good, little bit of artefacts"
r10_BR,pca4,3.0,0,1,"very blurry on new generation, bad"
r10_BR,pca2,3.5,0,1,"blurry too, also bad"
r10_BR,16node,6.0,0,1,"some blurring artefacts, makes building, 8node better"
r10_BR,4node,5.0,1,1,"hazy, building with holes, bit uncanny"
r10_BR,noatok,9.0,0,1,excellent here
r10_BR,noadaln,9.0,0,0,best here but does not move back or right
r15_R,pca8,8.0,0,1,really good
r15_R,16node,8.0,0,1,really good
r15_R,4node,6.5,1,1,good but hazy
r15_R,noadaln,5.5,1,0,hazy
r15_R,pca2,4.0,0,1,"kind of bad, mangles on the right side"
r15_R,pca4,4.0,0,1,"kind of bad, mangles on the right side"
r15_R,noatok,2.0,0,1,mangled and horrid
r17_BL,16node,8.0,0,1,"best, nothing bad on it"
r17_BL,noatok,7.0,0,1,good
r17_BL,noadaln,7.0,0,0,good
r17_BL,4node,6.5,1,1,good but hazy
r17_BL,pca8,5.0,0,1,"kind of weak, right building hazy"
r17_BL,pca2,4.0,0,1,"big messy structure on the right, not right"
r17_BL,pca4,4.0,0,1,messy structure on the right
r18_BR,noadaln,7.0,0,0,generates nothing new or cool but good
r18_BR,4node,6.5,1,1,good but hazy
r18_BR,pca8,4.5,0,1,"right building is a load of shite, looks so bad"
r18_BR,pca4,3.5,0,1,even worse than pca8
r18_BR,16node,3.5,0,1,"sucks, black mass on the right"
r18_BR,noatok,3.0,0,1,"quite bad, big black mess"
r18_BR,pca2,3.0,0,1,somehow even worse
r22_BL,noatok,8,0,1,top tier
r22_BL,noadaln,8,0,0,top tier
r22_BL,16node,6,0,1,next tier; shadows better than pca8
r22_BL,pca8,6,0,1,next tier; wall much better than 16node
r22_BL,pca2,4,0,1,"a bit mangled/mashed but crisp, plausible even if different"
r22_BL,4node,2,1,1,"bad, implausible content generated (washed out)"
r22_BL,pca4,2,0,1,"bad, implausible content generated"
r04_BL,16node,9,0,1,best
r04_BL,noatok,9,0,1,very good
r04_BL,noadaln,9,0,0,very good
r04_BL,pca8,7,0,1,blobs (trees)
r04_BL,pca4,7,0,1,blobs
r04_BL,pca2,7,0,1,blobs
r04_BL,4node,5,1,1,a bit hazy and washed out
r14_B,noadaln,7,0,0,mangles its wires but the van is ok
r14_B,pca8,7,0,1,acceptable
r14_B,16node,7,0,1,acceptable
r14_B,noatok,5,0,1,"changes van front into a box, not right"
r14_B,4node,5,0,1,same van-front box issue
r14_B,pca4,5,0,1,same
r14_B,pca2,5,0,1,backpacker addition not bad but its low render quality is; van front box
